,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
17045,2 punti sbagliato,,Ousmane Diop,missed,289,1489,180.0,196.0,1
17046,3 punti sbagliato,,Brandon Jefferson,missed,320,1520,165.0,700.0,6
17047,2 punti sbagliato,,Breein Tyree,missed,351,1551,705.0,700.0,2
17048,3 punti segnato,Nikola Mirotic,Devon Hall,made,369,1569,30.0,196.0,5
17049,2 punti sbagliato,,Breein Tyree,missed,388,1588,945.0,700.0,3
17050,2 punti sbagliato,,Stephane Gombauld,missed,404,1604,615.0,308.0,0
17051,2 punti segnato,Devon Hall,Stefano Tonut,made,414,1614,795.0,252.0,0
17052,3 punti segnato,Diego Flaccadori,Nikola Mirotic,made,447,1647,465.0,868.0,6
17053,2 punti sbagliato,,Alessandro Cappelletti,missed,479,1679,1140.0,336.0,4
17054,2 punti sbagliato,,Alessandro Cappelletti,missed,518,1718,495.0,616.0,2
17055,2 punti segnato,,Nikola Mirotic,made,535,1735,330.0,168.0,1
17056,3 punti sbagliato,,Brandon Jefferson,missed,561,1761,615.0,1036.0,6
17057,2 punti sbagliato,,Brandon Jefferson,missed,576,1776,780.0,308.0,0
17058,3 punti segnato,Diego Flaccadori,Shavon Shields,made,598,1798,60.0,448.0,5
17059,2 punti sbagliato,,Ousmane Diop,missed,37,1837,615.0,196.0,0
17060,2 punti segnato,Shavon Shields,Diego Flaccadori,made,77,1877,795.0,532.0,3
17061,2 punti sbagliato,,Guglielmo Caruso,missed,113,1913,795.0,308.0,0
17062,3 punti sbagliato,,Breein Tyree,missed,135,1935,930.0,952.0,7
17063,2 punti segnato,Shavon Shields,Kyle Hines,made,151,1951,810.0,196.0,0
17064,2 punti segnato,Brandon Jefferson,Vasilis Charalampopoulos,made,161,1961,540.0,336.0,2
17065,2 punti sbagliato,,Alex Poythress,missed,179,1979,825.0,196.0,0
17066,3 punti sbagliato,,Brandon Jefferson,missed,195,1995,1125.0,868.0,7
17067,2 punti sbagliato,,Devon Hall,missed,216,2016,870.0,560.0,3
17068,3 punti segnato,Shabazz Napier,Diego Flaccadori,made,284,2084,690.0,896.0,6
17069,3 punti sbagliato,,Giampaolo Ricci,missed,329,2129,45.0,112.0,5
17070,3 punti sbagliato,,Brandon Jefferson,missed,335,2135,210.0,700.0,6
17071,3 punti sbagliato,,Breein Tyree,missed,358,2158,825.0,980.0,7
17072,3 punti sbagliato,,Shabazz Napier,missed,388,2188,1110.0,896.0,7
17073,3 punti sbagliato,,Shabazz Napier,missed,400,2200,615.0,952.0,6
17074,2 punti segnato,,Breein Tyree,made,417,2217,765.0,308.0,0
17075,2 punti segnato,,Alex Poythress,made,438,2238,780.0,196.0,0
17076,2 punti sbagliato,,Breein Tyree,missed,456,2256,1155.0,504.0,3
17077,3 punti sbagliato,,Vasilis Charalampopoulos,missed,467,2267,255.0,756.0,6
17078,2 punti segnato,,Diego Flaccadori,made,491,2291,675.0,728.0,2
17079,2 punti segnato,,Breein Tyree,made,543,2343,720.0,224.0,0
17080,3 punti sbagliato,,Giordano Bortolani,missed,552,2352,1095.0,1064.0,7
17081,3 punti sbagliato,,Breein Tyree,missed,561,2361,705.0,1036.0,6
17082,2 punti segnato,Alessandro Cappelletti,Stephane Gombauld,made,595,2395,735.0,308.0,0
17083,2 punti segnato,Nikola Mirotic,Luigi Suigo,made,598,2398,300.0,560.0,2
17084,2 punti segnato,,Miro Bilan,made,26,26,795.0,224.0,0
17085,3 punti segnato,Payton Terrell Willis,Ryan Hawkins,made,41,41,915.0,868.0,7
17086,2 punti segnato,Semaj Christon,Nicola Akele,made,56,56,720.0,196.0,0
17087,2 punti segnato,,Derek Ogbeide,made,75,75,795.0,140.0,0
17088,2 punti sbagliato,,Amedeo Della Valle,missed,91,91,840.0,252.0,0
17089,2 punti sbagliato,,Miro Bilan,missed,91,91,840.0,252.0,0
